Species,Longitude,Latitude
sp1,-75.2451,8.0099
sp1,-76.0946,5.2424
sp1,-76.3216,6.7517
sp1,-76.5383,5.7431
sp1,-76.6037,3.8883
sp1,-76.8536,3.818
sp1,-76.8675,3.5333
sp1,-76.8738,3.55
sp1,-76.8979,3.8399
sp1,-76.9105,3.6144
sp1,-76.9109,3.6134
sp1,-76.911,3.6137
sp1,-77.0043,4.5539
sp1,-77.167,6.7241
sp1,-77.1883,3.4598
sp1,-77.25,5.6993
sp1,-77.66,7.72
sp1,-77.72,7.76
sp1,-77.73,7.77
sp1,-78.9077,9.2356
sp1,-78.9917,9.3417
sp1,-79.29,9.32
sp1,-79.7163,9.1242
sp1,-79.7687,9.1398
sp1,-79.7928,9.3311
sp1,-79.8383,9.1642
sp1,-79.911,9.1092
sp1,-80.0746,9.0027
sp1,-80.1267,8.6007
sp1,-80.5883,8.6517
sp1,-80.59,8.67
sp1,-80.592,8.667
sp1,-81.0832,8.5424
sp1,-82.3245,9.1486
sp1,-82.9333,9.5667
sp1,-82.9622,8.7867
sp1,-82.97,8.8
sp1,-83.3963,8.516
sp1,-83.487,8.6986
sp1,-83.4963,8.6827
sp1,-83.4963,8.6327
sp1,-83.5129,8.9826
sp1,-83.52,8.7
sp1,-83.7863,9.291
sp1,-83.8335,9.2783
sp2,-75.8531,4.8668
sp2,-75.8348,4.6978
sp2,-75.5791,4.7352
sp2,-75.832,4.6083
sp2,-75.4441,5.1852
sp2,-75.6869,5.2415
sp2,-75.6864,5.2415
sp2,-75.5693,5.2492
sp2,-75.4948,5.2278
sp2,-75.9576,5.1396
sp2,-75.5174,5.0689
sp2,-75.6955,5.0457
sp2,-76.1941,3.743
sp2,-75.4155,5.3701
sp2,-75.6214,4.8681
sp2,-75.5241,5.1753
sp2,-75,5.75
sp2,-75.5929,5.2894
sp2,-75.3134,5.2185
sp2,-75.1083,4.8356
sp2,-75.5833,6.25
sp2,-75.6079,4.5134
sp2,-75.6084,4.5066
sp2,-75.6632,4.553
sp2,-75.6241,4.5491
sp2,-75.5542,4.6897
sp2,-75.8703,4.5853
sp2,-75.7027,4.5394
sp2,-75.8681,4.5864
sp2,-75.6435,4.7074
sp2,-75.7501,4.5666
sp2,-75.7847,4.5126
sp2,-75.7915,4.4536
sp2,-75.7667,4.3333
sp2,-75.8508,4.6238
sp2,-75.6572,4.4678
sp2,-75.6112,4.6785
sp2,-76.0488,6.3987
sp2,-75.8882,5.3813
sp2,-75.6063,4.6792
sp2,-76.0899,6.5252
sp2,-75.6225,4.6689
sp2,-75.6203,4.8647
sp2,-76.0122,5.2511
sp2,-75.96,5.7234
sp2,-75.8884,5.3818
sp2,-75.9989,5.7674
sp2,-75.5147,6.8161
sp2,-75.1361,6.2998
sp2,-76.1383,6.3197
sp2,-76.0949,5.2419
sp2,-75.5037,6.947
sp2,-76.0512,6.3966
sp2,-76.066,6.3814
sp2,-75.5726,4.7233
sp2,-76.0721,6.367
sp2,-76.0581,6.4124
sp2,-76.044,6.1534
sp2,-76.7251,3.5114
sp2,-76.4237,3.8552
sp2,-76.4306,3.8671
sp2,-76.3916,4.0739
sp2,-76.6539,3.4284
sp2,-76.7193,3.4857
sp2,-76.721,3.4848
sp2,-76.5308,3.3737
sp2,-76.2276,3.2774
sp2,-76.9109,3.6134
sp2,-76.4192,3.8602
sp2,-76.634,3.5632
sp2,-76.3578,3.8333
sp2,-76.5693,3.373
sp2,-76.7248,3.5101
sp2,-76.911,3.6137
sp2,-76.5997,3.5831
sp2,-76.0646,3.9874
sp2,-75.5009,6.8097
sp2,-76.5295,3.3729
sp2,-75.1569,6.3079
sp2,-75.1407,6.3007
sp2,-75.143,6.3021
sp2,-75.1469,6.3054
sp2,-75.7609,5.7441
sp2,-75.1434,6.3028
sp2,-75.9126,6.7001
sp2,-75.3633,6.5469
sp2,-75.0234,6.3887
sp2,-75.6712,6.7853
sp2,-75.8704,6.4234
sp2,-75.8625,6.561
sp2,-75.8626,6.559
sp2,-75.715,6.4475
sp2,-75.715,6.376
sp2,-75.129,6.524
sp2,-75.141,6.501
sp2,-75.5073,6.2555
sp2,-75.5157,6.2895
sp2,-75.1076,6.8725
sp2,-75.5814,4.7311
sp2,-75.4181,6.357
sp2,-75.0988,6.8736
sp2,-75.0783,6.9119
sp2,-75.1432,6.9689
sp2,-75.6006,6.0317
sp2,-75.0292,6.9386
sp2,-75.3371,6.0784
sp2,-75.9086,4.6153
sp2,-76.1596,6.5022
sp2,-76.169,6.5116
sp2,-76.1594,6.502
sp2,-76.1693,6.5112
sp2,-75.135,6.3044
sp2,-75.2573,6.4555
sp2,-75.4911,6.2085
sp2,-76.0324,5.6834
sp2,-75.5636,6.2518
sp2,-75.3109,5.7095
sp3,-75.5962,7.0792
sp3,-75.1666,5.7728
sp3,-75.1361,6.2998
sp3,-75.96,5.7234
sp3,-75.1407,6.3022
sp3,-75.1435,6.3026
sp3,-75.3117,6.8423
sp3,-75.4739,7.0889
sp3,-75.4217,7.0759
sp3,-76.0833,5.75
sp3,-75.1111,6.9783
sp3,-75.1291,6.3028
sp3,-75.4189,7.0686
sp3,-75.0988,6.8736
sp3,-75.1347,6.9833
sp3,-75.0595,6.813
sp3,-75.0783,6.9119
sp3,-75.1432,6.9689
sp3,-75.1458,6.8029
sp3,-75.1186,6.8798
sp3,-75.1353,6.9806
sp3,-75.2816,6.7479
sp3,-75.135,6.3044
sp3,-75.0999,6.8003
sp3,-75.1568,7.1339
sp3,-75.0292,6.9386
sp3,-75.0406,6.967
sp3,-75.1643,6.8373
sp3,-75.25,6.1333
